FIPS,State,County,Life Expectancy,% Frequent Physical Distress,% Limited Access to Healthy Foods,Median Household Income,% Homeowners,% Severe Housing Cost Burden,Population,# Black,# American Indian & Alaska Native,# Asian,# Native Hawaiian/Other Pacific Islander,# Hispanic,# Non-Hispanic White,% Female,# Rural
09000,Connecticut,NA,80.869448681,9.9131621069,4.3434038453,76366,66.341322857,16.743437603,3572665,364858,19943,173799,3840,589809,2376351,51.201833925,429155
09001,Connecticut,Fairfield,82.707272226,7.8661906135,3.2083189396,91183,67.305450071,19.536670268,943823,103579,4887,54887,1019,190436,580580,51.288747996,42028
09003,Connecticut,Hartford,80.295570423,9.2392125601,4.0199667897,73037,64.490179451,15.847055507,892697,118190,5043,52233,1100,164732,541169,51.370173754,48354
09005,Connecticut,Litchfield,80.432443126,8.4332122301,2.7977826088,76304,77.147336694,13.731479434,181111,2957,599,3718,129,12180,159502,50.554632242,78722
09007,Connecticut,Middlesex,81.10542525,9.0133389115,4.8816998608,88709,73.644082999,13.526458803,162682,7781,449,5132,108,10462,136198,51.290247231,40657
09009,Connecticut,New Haven,80.13563462,9.8401902052,4.5426641279,67720,61.934414004,18.111253233,857620,110014,4597,36950,895,159804,534633,51.785872531,31394
09011,Connecticut,New London,79.875299951,9.3217273883,7.148508682,67790,66.534142753,14.433127337,266784,15245,3145,11698,380,29186,200817,49.883801128,70729
09013,Connecticut,Tolland,81.586244992,9.0938365839,8.0116852767,89584,72.056054461,12.534531659,150921,4921,404,7440,116,8633,127222,49.908892732,58340
09015,Connecticut,Windham,78.723192019,9.6647277548,4.6261453577,65182,69.652860582,12.950634632,117027,2171,819,1741,93,14376,96230,50.487494339,58931
23000,Maine,NA,78.683706024,12.003512688,3.8330192548,55579,72.199549335,12.567526152,1338404,20708,9657,16674,455,22850,1246689,51.033245567,814819
23001,Maine,Androscoggin,77.564429361,10.878747156,3.5495686489,49935,64.346793871,12.272615398,107679,4506,464,944,42,2134,97327,51.052665794,46707
23003,Maine,Aroostook,77.983122284,12.403312856,4.6834771793,39450,71.72541744,11.62226752,67111,695,1297,314,26,887,63050,50.550580382,57687
23005,Maine,Cumberland,80.240827854,9.0863424888,4.5013448241,71586,68.741281522,13.243044386,293557,8874,1051,6683,99,6284,265239,51.469731602,101680
23007,Maine,Franklin,78.119002583,11.401572767,1.0385353272,49561,79.174071253,9.4245423491,29897,163,142,144,14,396,28612,50.911462689,25537
23009,Maine,Hancock,79.983650084,10.580537418,1.7730615164,52148,75.376394249,12.774311767,54811,467,260,685,12,837,51877,51.562642535,49038
23011,Maine,Kennebec,78.199386559,10.576096623,2.5049943169,52154,70.705444104,11.614708233,122083,850,660,1137,46,1938,115440,51.247102381,76748
