FIPS,State,County,% Fair or Poor Health,% Smokers,% Adults with Obesity,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,High School Graduation Rate,% Some College,% Children in Poverty,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone
09000,Connecticut,NA,13.800709841,12.730980578,25.8,20.4,94.01927256,17.110730483,87.97176025,68.904600569,13.8,18.141823188,78.169356972,33.7
09001,Connecticut,Fairfield,10.596030215,10.157896011,21.3,17.7,96.810746606,19.401189113,90.408640616,70.872048945,12.7,21.314996569,72.274991797,35.4
09003,Connecticut,Hartford,13.044215939,11.356248016,26.2,21.6,96.841324633,15.660004208,83.815090132,69.477665022,15.5,16.843075417,81.109223721,29.4
09005,Connecticut,Litchfield,10.678781863,12.063141174,27.7,20.8,82.930283741,17.634991242,88.838187702,68.070724207,8.1,14.695991391,83.870122245,39.8
09007,Connecticut,Middlesex,10.377224369,11.316440612,25.5,19.4,96.760544678,19.082506452,96.338567839,76.18665412,8.1,14.022417814,81.610706041,40.5
09009,Connecticut,New Haven,14.442711452,12.843951967,28.1,21.7,95.413674799,18.554108781,85.843052711,65.837402911,16.7,20.132624776,78.117292246,33
09011,Connecticut,New London,11.54628191,12.350839725,29.6,20.9,92.070934666,17.846051543,89.085431353,66.485316847,12.5,15.01836677,79.780104636,28.6
09013,Connecticut,Tolland,10.470404945,10.543489991,24.9,19.1,76.605693852,19.050188303,91.42347561,75.37780588,6.4,12.60650481,79.934974454,43.5
09015,Connecticut,Windham,13.385187564,14.356951843,30.3,23,81.859019826,17.232574162,82.627573859,62.001475807,14.8,15.894713059,83.018967334,38.5
23000,Maine,NA,14.991462407,17.303428327,29.9,21.6,69.966597935,20.219852751,86.668977537,67.810463341,14.8,15.001542342,78.469896394,32.7
23001,Maine,Androscoggin,13.448855437,16.449206191,33.9,24.7,84.180423762,19.862958983,81.226332538,66.612710525,17.3,14.828472455,79.321034614,33.2
23003,Maine,Aroostook,17.492794482,18.592721462,35.9,31.2,55.63378322,15.311525681,90.186062246,65.298885512,19.1,13.668341709,79.662058372,19.4
23005,Maine,Cumberland,9.0048088735,11.391522395,23.3,15.9,83.844089266,22.818499418,88.250684463,77.795746745,8,15.525579028,76.4728173,30.2
23007,Maine,Franklin,14.057004795,16.197356428,34.1,23.3,46.766120645,19.89570048,90.182926829,64.157014157,20.4,13.179289688,76.673773987,36.6
23009,Maine,Hancock,12.96677119,14.394734709,24.9,18.3,69.511926201,20.922417231,88.021582734,63.86698663,15.9,16.273684211,72.569697435,34.5
23011,Maine,Kennebec,12.485646195,16.463107334,33.5,23.1,76.525775475,19.15456187,83.152173913,66.454689984,15,14.440291167,79.891549149,32.3
23013,Maine,Knox,11.173563361,13.697646418,27.2,18.6,44.813267566,20.544286757,90.771461717,61.220196353,16.1,15.81920904,77.653175655,18
23015,Maine,Lincoln,11.148040806,14.524588742,24.5,19.4,56.676437299,18.220991664,NA,58.119785459,16.8,14.946737683,75.760623586,34.3
23017,Maine,Oxford,13.647688755,18.030923525,33.2,26.2,40.955855653,18.948454547,83.531347962,52.377850163,26.3,15.946924005,80.786981778,42.7
23019,Maine,Penobscot,15.212091016,16.858076332,33.7,23.5,63.412225593,20.136416426,87.737435567,67.32585358,17.1,14.92271587,79.386752736,26.1
23021,Maine,Piscataquis,15.244386967,18.900871763,36.6,25.1,48.046763616,17.757190843,NA,53.244697689,23.8,14.332892999,78.130081301,31.5
23023,Maine,Sagadahoc,11.752554148,13.590921937,25.1,18.5,81.424078429,20.911209698,85.23480663,66.19194252,13,14.217098943,79.508377425,32.8
23025,Maine,Somerset,15.736557327,19.094503389,33.9,26,59.475760129,18.359029947,86.143493761,56.653046722,21.1,16.280701754,81.7799383,33.7
23027,Maine,Waldo,15.062473001,17.510761602,30.7,20.7,49.99742175,18.578054827,84.793233083,64.630926415,20.2,14.803804994,77.128913747,39.4
23029,Maine,Washington,17.627855651,18.229789574,32.6,26.7,51.957024592,18.519109913,NA,52.483285578,26.8,13.508709563,73.454166333,27.2
23031,Maine,York,12.723861548,14.036913691,30.2,21.7,77.910120681,21.204135536,88.037474849,69.259502939,10.5,14.904952173,81.017978274,41.9
