FIPS,State,County,Life Expectancy,% Frequent Physical Distress,% Limited Access to Healthy Foods,Median Household Income,% Homeowners,% Severe Housing Cost Burden,Population,# Black,# American Indian & Alaska Native,# Asian,# Native Hawaiian/Other Pacific Islander,# Hispanic,# Non-Hispanic White,% Female,# Rural
01000,Alabama,NA,75.416194148,15.826859661,7.9214249526,49881,68.550462326,12.653816743,4887871,1295175,34375,73167,5207,217181,3197324,51.63303205,1957932
01001,Alabama,Autauga,76.879477172,13.685228616,11.991125,59338,74.894624674,13.403481168,55601,10755,267,681,62,1649,41316,51.448714951,22921
01003,Alabama,Baldwin,78.450258368,12.480107671,5.424426597,57588,73.619343186,11.725807954,218022,19151,1684,2508,146,10131,181201,51.538376861,77060
01005,Alabama,Barbour,75.34193493,17.184897504,10.739666573,34382,61.397779229,14.059546314,24881,11951,164,113,46,1064,11356,47.216751738,18613
01007,Alabama,Bibb,73.571820279,13.626575493,2.6016270077,46064,75.073099415,9.886874322,22400,4731,98,53,26,588,16708,46.78125,15663
01009,Alabama,Blount,74.145825897,14.523164345,2.8801498232,50412,78.626213592,8.4622572942,57840,846,378,185,70,5536,50255,50.726141079,51562
01011,Alabama,Bullock,73.530894789,16.880968518,19.743350741,29267,75.53338875,18.501529052,10138,7050,85,19,76,807,2151,45.482343658,5607
01013,Alabama,Butler,72.918309203,16.696707392,2.9261219306,37365,69.946332737,11.545956479,19680,8769,74,259,10,297,10087,53.429878049,14921
01015,Alabama,Calhoun,73.039108585,14.75440129,9.178566583,45400,69.473497213,11.722432218,114277,23827,617,1102,126,4469,82308,51.946585927,39955
01017,Alabama,Chambers,74.291076031,15.247787308,10.328558281,39917,67.7641314,12.381027919,33615,13300,103,446,15,861,18566,52.125539194,16816
01019,Alabama,Cherokee,73.998833761,14.36571083,0.2211124003,42132,78.955308316,9.945695897,26032,1104,172,88,8,422,23860,50.460971112,22282
01021,Alabama,Chilton,74.926750554,14.590991602,1.4605309614,47547,74.849262731,12.159502191,44153,4401,250,215,77,3500,35384,50.925191946,37858
01023,Alabama,Choctaw,74.053901547,15.308663354,7.2904190524,39907,79.682242991,9.3895761509,12841,5331,24,23,0,134,7241,52.729538198,13859
01025,Alabama,Clarke,74.787459811,15.913944174,11.154712303,40741,67.471681983,12.836438923,23920,10603,126,104,5,326,12560,52.642140468,19628
01027,Alabama,Clay,75.237156152,15.051463849,2.3268798802,39201,72.364400306,7.9752066116,13275,1836,72,32,0,400,10690,51.096045198,13932
01029,Alabama,Cleburne,74.766028857,13.617815884,2.0717157696,46495,75.65490744,10.040907401,14987,430,74,33,11,372,13907,50.483752586,14972
01031,Alabama,Coffee,76.710348557,13.433362324,5.9812031395,55122,64.793572187,9.4576684515,51909,8922,732,849,206,3935,36261,50.835115298,23573
01033,Alabama,Colbert,74.665950403,13.880700384,6.5517045351,49055,72.705169962,11.76300578,54762,8761,363,323,41,1465,42932,52.048866002,23891
01035,Alabama,Conecuh,75.25023311,16.897698892,13.229776262,32613,76.606908614,8.9436789944,12277,5606,63,26,4,264,6176,52.097417936,10708
01037,Alabama,Coosa,73.819513253,15.438655365,10.124807485,42423,81.988788691,9.6423017107,10715,3265,64,15,18,270,7006,49.612692487,11539
01039,Alabama,Covington,73.994503819,14.012175055,4.3703267511,40203,74.027185501,10.012140256,36986,4602,256,172,4,647,30768,51.614124263,26304
01041,Alabama,Crenshaw,74.659042119,14.364087745,17.03906038,39057,73.810945274,8.7624405019,13824,3210,87,155,6,320,9808,51.721643519,13906
01043,Alabama,Cullman,74.539745814,13.856322167,3.1096062497,45796,74.581841848,9.9413784731,83442,1006,539,561,72,3699,76646,50.570456125,58889
01045,Alabama,Dale,75.05295351,14.862925905,10.559380333,45309,60.198178897,12.905588103,48956,10012,392,695,104,3250,33470,50.929405997,25572
01047,Alabama,Dallas,71.185071339,18.003030867,11.556270932,34035,59.788197845,16.611317747,38310,26839,111,223,17,426,10413,53.837118246,19999
01049,Alabama,DeKalb,74.458450235,16.343359661,2.1669646088,39491,71.192407776,9.8586824338,71385,1034,1449,368,457,10595,57199,50.370526021,64091
