FIPS,State,County,% Fair or Poor Health,% Smokers,% Adults with Obesity,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,High School Graduation Rate,% Some College,% Children in Poverty,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone
01000,Alabama,NA,22.028702851,20.927353108,35.5,29.8,61.112287373,13.903515291,89.3,60.411901542,23.9,14.340702084,85.79474468,34.3
01001,Alabama,Autauga,20.882987328,18.08155718,33.3,34.7,69.130124059,15.026031257,90,62.009973681,19.3,14.663461538,86.523661372,39.6
01003,Alabama,Baldwin,17.50913436,17.489032597,31,26.5,73.713548953,17.958310103,86.361576801,67.371619818,13.9,13.566200931,84.282432728,41.7
01005,Alabama,Barbour,29.591801708,21.999984528,41.7,23.5,53.166769858,12.844015554,81.41025641,34.857648621,43.9,14.583333333,83.368470368,32.2
01007,Alabama,Bibb,19.439724157,19.114199885,37.6,33.5,16.251363736,15.570042367,83.763837638,44.137353434,27.8,10.496453901,84.910646866,49.8
01009,Alabama,Blount,21.745292814,19.20867197,33.8,30.3,15.634485887,14.230593827,93.468795356,53.361073248,18,10.548011639,86.17836202,59.4
01011,Alabama,Bullock,30.999101851,22.894664011,37.2,24.6,2.5013743815,12.094101229,70.247933884,34.976094152,68.3,18.143459916,79.060913706,46
01013,Alabama,Butler,27.910673184,21.765334963,43.3,39.5,48.57974889,11.85740343,81.589958159,41.678756477,36.3,13.159609121,83.833183164,32.3
01015,Alabama,Calhoun,23.107733221,20.612560375,38.5,31.7,47.721215801,13.842230147,92.368045649,59.243988636,26.5,13.734191258,84.809213736,31.2
01017,Alabama,Chambers,23.995473603,19.392927053,40.1,30.1,61.864679234,12.745734617,86.23853211,48.460334029,30.7,15.9566787,85.252848013,31.8
01019,Alabama,Cherokee,20.698470599,17.498673785,35,31.3,33.429527877,14.106562852,94.904458599,51.836210062,24.7,13,83.114465929,46.1
01021,Alabama,Chilton,21.185462911,20.188979064,37.7,33.2,46.293792819,14.509374576,88.205980066,39.905569642,23.3,13.29723225,83.564828268,50.3
01023,Alabama,Choctaw,24.863531285,18.79324829,41.3,36.2,28.934266542,11.642290616,78.632478632,58.008658009,32.1,11.061151079,82.146317829,44
