FIPS,State,County,perc_Fair_or_Poor_Health,perc_Smokers,perc_Adults_with_Obesity,perc_Physically_Inactive,perc_With_Access_to_Exercise_Opportunities,perc_Excessive_Drinking,High_School_Graduation_Rate,perc_Some_College,perc_Children_in_Poverty,perc_Severe_Housing_Problems,perc_Drive_Alone_to_Work,perc_Long_Commute___Drives_Alone,Life_Expectancy,perc_Frequent_Physical_Distress,perc_Limited_Access_to_Healthy_Foods,Median_Household_Income,perc_Homeowners,Population,perc_Black,perc_American_Indian___Alaska_Native,perc_Asian,perc_Native_Hawaiian_Other_Pacific_Islander,perc_Hispanic,perc_Non_Hispanic_White,perc_Female,perc_Rural,perc_Rural_1
01000,Alabama,,22,21,36,30,61,14,89,60,24,14,86,34,75.4,16,8,49881,69,4887871,26.5,0.7,1.5,0.1,4.4,65.4,51.6,1957932,41
01001,Alabama,Autauga,21,18,33,35,69,15,90,62,19,15,87,40,76.9,14,12,59338,75,55601,19.3,0.5,1.2,0.1,3,74.3,51.4,22921,42
01003,Alabama,Baldwin,18,17,31,27,74,18,86,67,14,14,84,42,78.5,12,5,57588,74,218022,8.8,0.8,1.2,0.1,4.6,83.1,51.5,77060,42.3
01005,Alabama,Barbour,30,22,42,24,53,13,81,35,44,15,83,32,75.3,17,11,34382,61,24881,48,0.7,0.5,0.2,4.3,45.6,47.2,18613,67.8
01007,Alabama,Bibb,19,19,38,34,16,16,84,44,28,10,85,50,73.6,14,3,46064,75,22400,21.1,0.4,0.2,0.1,2.6,74.6,46.8,15663,68.4
01009,Alabama,Blount,22,19,34,30,16,14,93,53,18,11,86,59,74.1,15,3,50412,79,57840,1.5,0.7,0.3,0.1,9.6,86.9,50.7,51562,90
01011,Alabama,Bullock,31,23,37,25,3,12,70,35,68,18,79,46,73.5,17,20,29267,76,10138,69.5,0.8,0.2,0.7,8,21.2,45.5,5607,51.4
01013,Alabama,Butler,28,22,43,40,49,12,82,42,36,13,84,32,72.9,17,3,37365,70,19680,44.6,0.4,1.3,0.1,1.5,51.3,53.4,14921,71.2
01015,Alabama,Calhoun,23,21,39,32,48,14,92,59,27,14,85,31,73,15,9,45400,69,114277,20.9,0.5,1,0.1,3.9,72,51.9,39955,33.7
01017,Alabama,Chambers,24,19,40,30,62,13,86,48,31,16,85,32,74.3,15,10,39917,68,33615,39.6,0.3,1.3,0,2.6,55.2,52.1,16816,49.1
01019,Alabama,Cherokee,21,17,35,31,33,14,95,52,25,13,83,46,74,14,0,42132,79,26032,4.2,0.7,0.3,0,1.6,91.7,50.5,22282,85.7
01021,Alabama,Chilton,21,20,38,33,46,15,88,40,23,13,84,50,74.9,15,1,47547,75,44153,10,0.6,0.5,0.2,7.9,80.1,50.9,37858,86.7
01023,Alabama,Choctaw,25,19,41,36,29,12,79,58,32,11,82,44,74.1,15,7,39907,80,12841,41.5,0.2,0.2,0,1,56.4,52.7,13859,100
01025,Alabama,Clarke,25,21,34,35,25,12,91,38,32,12,88,35,74.8,16,11,40741,67,23920,44.3,0.5,0.4,0,1.4,52.5,52.6,19628,76
01027,Alabama,Clay,24,20,41,33,64,13,90,35,26,11,90,37,75.2,15,2,39201,72,13275,13.8,0.5,0.2,0,3,80.5,51.1,13932,100
01029,Alabama,Cleburne,19,18,37,31,41,14,98,45,23,13,81,56,74.8,14,2,46495,76,14987,2.9,0.5,0.2,0.1,2.5,92.8,50.5,14972,100
01031,Alabama,Coffee,19,17,34,31,54,15,93,64,22,12,87,27,76.7,13,6,55122,65,51909,17.2,1.4,1.6,0.4,7.6,69.9,50.8,23573,47.2
01033,Alabama,Colbert,21,19,31,37,56,15,92,55,21,14,90,28,74.7,14,7,49055,73,54762,16,0.7,0.6,0.1,2.7,78.4,52,23891,43.9
01035,Alabama,Conecuh,29,21,43,41,37,12,80,36,40,13,89,34,75.3,17,13,32613,77,12277,45.7,0.5,0.2,0,2.2,50.3,52.1,10708,80.9
01037,Alabama,Coosa,25,20,40,35,6,13,83,43,30,15,84,41,73.8,15,10,42423,82,10715,30.5,0.6,0.1,0.2,2.5,65.4,49.6,11539,100
01039,Alabama,Covington,23,19,32,36,50,14,95,54,30,13,88,29,74,14,4,40203,74,36986,12.4,0.7,0.5,0,1.7,83.2,51.6,26304,69.7
01041,Alabama,Crenshaw,22,19,38,34,22,15,89,45,31,10,82,41,74.7,14,17,39057,74,13824,23.2,0.6,1.1,0,2.3,70.9,51.7,13906,100
01043,Alabama,Cullman,22,18,37,37,42,15,91,50,20,12,88,33,74.5,14,3,45796,75,83442,1.2,0.6,0.7,0.1,4.4,91.9,50.6,58889,73.2
01045,Alabama,Dale,23,20,37,32,46,15,90,58,24,14,86,25,75.1,15,11,45309,60,48956,20.5,0.8,1.4,0.2,6.6,68.4,50.9,25572,50.9
01047,Alabama,Dallas,30,24,43,27,60,11,86,51,48,21,86,27,71.2,18,12,34035,60,38310,70.1,0.3,0.6,0,1.1,27.2,53.8,19999,45.6
01049,Alabama,DeKalb,26,21,29,32,45,12,93,46,30,11,86,32,74.5,16,2,39491,71,71385,1.4,2,0.5,0.6,14.8,80.1,50.4,64091,90.1
01051,Alabama,Elmore,19,17,34,26,52,16,86,55,16,11,87,46,75.9,13,7,60367,74,81887,21.2,0.5,0.7,0.1,3,73,51.7,42973,54.2
01053,Alabama,Escambia,26,22,39,32,48,13,88,38,33,12,92,29,72.9,16,7,38418,69,36748,31.4,3.9,0.3,0.1,2.5,60.2,49.3,24337,63.5
01055,Alabama,Etowah,21,20,36,34,49,14,90,55,29,11,85,29,73,15,9,44903,72,102501,15.5,0.6,0.8,0.3,4,77.7,51.6,39144,37.5
01057,Alabama,Fayette,22,18,41,34,34,14,92,52,37,12,86,41,74.6,15,1,39254,78,16433,11.9,0.5,0.4,0,1.8,84.2,51.2,13833,80.2
01059,Alabama,Franklin,25,19,34,38,58,13,92,41,30,13,83,38,74.6,16,4,39388,71,31363,3.9,1.5,0.3,0.2,17.8,76.2,49.5,22309,70.4
01061,Alabama,Geneva,23,20,39,37,20,14,90,43,30,10,84,41,73.8,15,1,37823,71,26314,9.3,1,0.3,0.1,4,83.7,51.2,24015,89.6
01063,Alabama,Greene,34,25,36,18,6,10,78,50,44,19,82,42,74.8,19,21,28524,69,8233,79.6,0.3,0.3,0,1.7,17.5,52.8,9045,100
01065,Alabama,Hale,28,22,40,28,30,11,91,47,36,17,88,50,74.1,17,5,34724,71,14726,57.8,0.3,0.3,0,1.4,39.7,52.4,14053,89.2
01067,Alabama,Henry,21,18,36,35,25,14,98,53,27,11,87,37,76.2,14,2,46027,83,17209,25.8,0.5,0.4,0,2.7,69.3,51.8,15183,87.8
01069,Alabama,Houston,20,19,38,31,67,14,91,59,22,13,88,26,75.9,14,6,47993,66,104722,26.9,0.5,1.1,0.1,3.4,66.3,52,34327,33.8
01071,Alabama,Jackson,23,20,39,29,47,13,90,45,27,11,86,37,73.8,15,3,41929,74,51736,3.4,1.7,0.6,0.1,3,89.1,50.9,40994,77
01073,Alabama,Jefferson,20,18,35,30,79,15,89,68,23,17,84,33,74.7,14,12,55013,63,659300,43.1,0.3,1.8,0.1,4,49.7,52.7,64752,9.8
01075,Alabama,Lamar,24,20,36,37,10,13,94,53,25,11,88,45,74.3,16,1,40936,76,13844,10.4,0.3,0.1,0,1.7,86,51.1,14564,100
01077,Alabama,Lauderdale,20,17,33,29,65,14,94,59,18,13,88,29,76.2,14,5,48707,68,92387,9.9,0.5,0.8,0.1,2.9,84.6,52,45701,49.3
01079,Alabama,Lawrence,22,20,33,36,49,14,88,48,31,11,87,46,73.8,15,2,43909,79,32957,10.8,5.8,0.2,0,2.2,76.4,51.3,31348,91.3
01081,Alabama,Lee,21,18,30,21,68,16,91,73,19,19,84,28,78.2,14,12,48937,60,163941,22.8,0.4,4.2,0.1,3.8,67.5,50.8,38441,27.4
01083,Alabama,Limestone,20,18,34,29,61,15,92,59,16,11,88,41,77.7,14,4,64863,78,96174,13.5,0.8,1.6,0.2,6.1,76.1,49.9,47690,57.6
01085,Alabama,Lowndes,30,23,47,34,5,10,91,35,40,19,86,62,71.2,18,13,33973,74,9974,71.9,0.4,0.4,0,1.7,25.1,53.2,11299,100
01087,Alabama,Macon,30,21,50,32,31,11,80,56,40,20,84,37,73.2,17,22,32495,66,18439,80,0.3,0.6,0,1.8,16.1,54.5,11916,55.5
01089,Alabama,Madison,19,17,33,22,69,16,93,73,17,12,88,26,77.4,13,7,63755,67,366519,24.4,0.8,2.7,0.1,5.1,64.6,51.1,55048,16.4
01091,Alabama,Marengo,26,21,42,32,43,12,91,51,35,18,89,33,73.2,17,13,37733,71,19066,51.1,0.2,0.3,0.2,2.6,44.9,53.1,14575,69.3
01093,Alabama,Marion,22,19,37,31,47,14,90,56,27,11,86,30,74.5,15,3,37887,75,29763,3.8,0.4,0.3,0.1,2.6,91.8,50.7,27346,88.9
01095,Alabama,Marshall,22,21,34,36,54,14,92,52,28,14,85,31,74.4,15,5,46233,70,96109,2.4,1.1,0.7,0.3,14.3,80.4,50.6,49550,53.3
01097,Alabama,Mobile,22,19,36,31,70,15,84,60,31,17,86,37,75.1,14,10,43598,65,413757,35.7,0.9,2.1,0,3.1,56.7,52.4,82682,20
01099,Alabama,Monroe,30,23,42,34,52,11,88,41,32,11,92,32,74.1,18,13,39556,61,21067,41,1.3,0.5,0,1.6,54,52.5,18234,79
