State,Region
Alabama,East South Ctr
Alaska,Pacific
Arizona,Mountain
Arkansas,West South Ctr
California,Pacific
Colorado,Mountain
Connecticut,New. Eng.
Delaware,South Atl.
District of Columbia,South Atl.
Florida,South Atl.
Georgia,South Atl.
Hawaii,Pacific
Idaho,Mountain
Illinois,East North Ctr
Indiana,East North Ctr
Iowa,West North Ctr
Kansas,West North Ctr
Kentucky,East South Ctr
Louisiana,West South Ctr
Maine,New. Eng.
Maryland,South Atl.
Massachusetts,New. Eng.
Michigan,East North Ctr
Minnesota,West North Ctr
Mississippi,East South Ctr
Missouri,West North Ctr
Montana,Mountain
Nebraska,West North Ctr
Nevada,Mountain
New Hampshire,New. Eng.
New Jersey,Mid. Atl.
New Mexico,Mountain
New York,Mid. Atl.
North Carolina,South Atl.
North Dakota,West North Ctr
Ohio,East North Ctr
Oklahoma,West South Ctr
Oregon,Pacific
Pennsylvania,Mid. Atl.
Rhode Island,New. Eng.
South Carolina,South Atl.
South Dakota,West North Ctr
Tennessee,East South Ctr
Texas,West South Ctr
Utah,Mountain
Vermont,New. Eng.
Virginia,South Atl.
Washington,Pacific
West Virginia,South Atl.
Wisconsin,East North Ctr
Wyoming,Mountain
